timestep,portfolio_value,weights,returns,price,optimization_method,total_return,sharpe_ratio,max_drawdown,volatility,var_95,calmar_ratio,sortino_ratio,information_ratio
0,5517241379.310346,[0.2 0.2 0.2 0.2 0.2],[0. 0. 0. 0. 0.],16.110001,equal_weight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5517241379.310346,[0.2 0.2 0.2 0.2 0.2],[0. 0. 0. 0. 0.],16.110001,equal_weight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5517279049.417618,[0.2 0.2 0.2 0.2 0.2],"[-1.66406784e-05 -1.06485408e-05  2.02330189e-05  3.89116301e-05
  2.28310502e-06]",16.110001,equal_weight,6.827706943076848e-06,31.00081969319683,0.0,0.0003195191775155009,0.0,0.0,0.0,0.0
3,5517117234.132593,[0.2 0.2 0.2 0.2 0.2],"[ 1.15112937e-04 -1.21119838e-04 -3.72850255e-05 -1.05635279e-04
  2.28310502e-06]",16.110001,equal_weight,-2.250131346763968e-05,-58.38061846996718,-2.9328820162127477e-05,0.0014680086104897345,0.0,-0.7672082730656787,0.0,0.0
4,5516818953.816288,[0.2 0.2 0.2 0.2 0.2],"[ 9.72595724e-06 -1.50247232e-04 -8.02558916e-06 -1.24058860e-04
  2.28310502e-06]",16.110001,equal_weight,-7.656462079795001e-05,-82.48050498515177,-8.339175836653927e-05,0.0022754315728524674,0.0,-0.9181317470417001,0.0,0.0
5,5516717198.151701,[0.2 0.2 0.2 0.2 0.2],"[-9.13978686e-05 -5.39969065e-05  1.06883054e-04 -5.59945162e-05
  2.28310502e-06]",16.110001,equal_weight,-9.500783500434755e-05,-91.60866072129257,-0.00010183484664893488,0.0020353750415794776,0.0,-0.9329599653827462,0.0,0.0
6,5516642821.014578,[0.2 0.2 0.2 0.2 0.2],"[ 5.41443858e-05 -7.98195384e-05 -1.03074405e-04  5.90557676e-05
  2.28310502e-06]",16.110001,equal_weight,-0.00010848869110791086,-95.50344463313381,-0.00011531561070979181,0.0018679839812095866,0.0,-0.9407979582308083,0.0,0.0
7,5516307514.244416,[0.2 0.2 0.2 0.2 0.2],"[-3.75233960e-05 -5.00088474e-05 -1.25288689e-04 -9.33669029e-05
  2.28310502e-06]",15.413334166666669,equal_weight,-0.00016926304319970606,-104.23786295173153,-0.0001760895478549544,0.002224081497776631,0.0,-0.9612327662918906,0.0,0.0
8,5516434442.854611,[0.2 0.2 0.2 0.2 0.2],"[-3.12772811e-05  3.09866877e-05  5.82076340e-06  1.07235251e-04
  2.28310502e-06]",14.716667333333334,equal_weight,-0.00014625723260183334,-70.8714528336944,-0.0001760895478549544,0.0025420487384873757,0.0,-0.8305844065333506,0.0,0.0
9,5516420349.691933,[0.2 0.2 0.2 0.2 0.2],"[-1.56775927e-05  1.04865867e-04 -1.07274400e-04  3.02922426e-06
  2.28310502e-06]",14.0200005,equal_weight,-0.00014881161833735107,-67.53627904193681,-0.0001760895478549544,0.0024409089808177117,0.0,-0.8450905811850216,0.0,0.0
10,5516291115.121505,[0.2 0.2 0.2 0.2 0.2],"[-1.43287911e-04  1.04941273e-04 -1.09940216e-04  2.88674892e-05
  2.28310502e-06]",13.323333666666668,equal_weight,-0.00017223538422740696,-73.54031528515603,-0.0001790618685885204,0.0023237212303174265,0.0,-0.9618763926964232,0.0,0.0
11,5516137107.193053,[0.2 0.2 0.2 0.2 0.2],"[-5.70211023e-05 -1.35444471e-04 -1.19158859e-04  1.69747599e-04
  2.28310502e-06]",12.626666833333331,equal_weight,-0.00020014932125924823,-80.29925313109115,-0.00020697561503348126,0.002234188255321603,0.0,-0.9670188501523294,0.0,0.0
12,5516404241.084502,[0.2 0.2 0.2 0.2 0.2],"[-1.96909868e-05  1.80677523e-04  1.11525533e-04 -3.26566213e-05
  2.28310502e-06]",11.93,equal_weight,-0.00015173130343412158,-47.604065235637314,-0.00020697561503348126,0.0027469877103487557,0.0,-0.7330878249091173,0.0,0.0
13,5516167100.744842,[0.2 0.2 0.2 0.2 0.2],"[-1.08977257e-05 -1.91889517e-04  5.16261211e-05 -6.60630293e-05
  2.28310502e-06]",11.968333333333334,equal_weight,-0.0001947129899976134,-55.07573739053985,-0.00020697561503348126,0.002745576003977598,0.0,-0.9407532861594144,0.0,0.0
14,5516200788.011001,[0.2 0.2 0.2 0.2 0.2],"[-2.57987227e-05  5.44164619e-05  5.14975535e-05 -5.18633672e-05
  2.28310502e-06]",12.006666666666666,equal_weight,-0.00018860717300628422,-51.23115708748046,-0.00020697561503348126,0.002694081430025357,0.0,-0.9112531105452897,0.0,0.0
15,5515997633.482326,[0.2 0.2 0.2 0.2 0.2],"[-1.24639749e-04  2.29113330e-05 -2.85253164e-05 -5.61728951e-05
  2.28310502e-06]",12.045,equal_weight,-0.00022542893132864234,-57.03171401785237,-0.00023225505250228464,0.002659236433267885,0.0,-0.970609374908754,0.0,0.0
16,5515962168.300239,[0.2 0.2 0.2 0.2 0.2],"[-1.14723814e-04  2.80474949e-05 -1.47235030e-06  5.37179965e-05
  2.28310502e-06]",12.083333333333334,equal_weight,-0.00023185699558190103,-56.91063796611142,-0.00023868307286690408,0.0025821564299502776,0.0,-0.9714010834408461,0.0,0.0
17,5516174706.03756,[0.2 0.2 0.2 0.2 0.2],"[ 1.27776719e-04 -1.25538916e-04  1.36322169e-04  5.18139158e-05
  2.28310502e-06]",12.121666666666666,equal_weight,-0.00019333453069231507,-43.28363341634179,-0.00023868307286690408,0.0027638481926472633,0.0,-0.8100052021708446,0.0,0.0
18,5516066256.856866,[0.2 0.2 0.2 0.2 0.2],"[ 1.03925946e-04 -1.62555813e-05 -2.15376345e-04  2.71218006e-05
  2.28310502e-06]",12.16,equal_weight,-0.0002129909446932077,-45.939607215303155,-0.00023868307286690408,0.0026918470697293085,0.0,-0.8923588176358741,0.0,0.0
19,5516311613.1446085,[0.2 0.2 0.2 0.2 0.2],"[1.38259015e-04 4.52393319e-05 4.01101093e-06 3.26090428e-05
 2.28310502e-06]",11.488333333333332,equal_weight,-0.0001685201175398588,-34.01467388831128,-0.00023868307286690408,0.0028722521902762193,0.0,-0.706041343928189,0.0,0.0
20,5516551413.524826,[0.2 0.2 0.2 0.2 0.2],"[ 3.07817467e-04 -2.03599508e-05 -2.30644493e-04  1.58259596e-04
  2.28310502e-06]",10.816666666666666,equal_weight,-0.00012505629862542746,-24.956002485718162,-0.00023868307286690408,0.002996209996881767,-5.4400344967307874e-05,-0.5239428884643282,0.0,0.0
21,5516471692.866527,[0.2 0.2 0.2 0.2 0.2],"[-4.67942532e-05 -6.39880823e-05 -1.90780467e-05  5.53213945e-05
  2.28310502e-06]",10.145,equal_weight,-0.00013950566794220206,-26.70024118552488,-0.00023868307286690408,0.0029285642163461114,-5.406452385310903e-05,-0.5844807772354853,0.0,0.0
22,5516739008.733689,[0.2 0.2 0.2 0.2 0.2],"[-1.06127545e-04  1.59495139e-04  3.78808883e-05  1.48757218e-04
  2.28310502e-06]",9.473333333333334,equal_weight,-9.105466701896189e-05,-18.406006493498644,-0.00023868307286690408,0.0030562424444752355,-5.351070812147904e-05,-0.3814877440837053,0.0,0.0
23,5516426346.247574,[0.2 0.2 0.2 0.2 0.2],"[-6.74105890e-05 -2.00323638e-04 -4.34813407e-05  2.55562814e-05
  2.28310502e-06]",8.801666666666668,equal_weight,-0.00014772474262738822,-24.189063580566906,-0.00023868307286690408,0.0031527828142366744,-5.641416492317513e-05,-0.6189158738951019,0.0,0.0
24,5516450954.772536,[0.2 0.2 0.2 0.2 0.2],"[-8.58205641e-05 -1.33094951e-04  1.93367841e-04  4.55693405e-05
  2.28310502e-06]",8.13,equal_weight,-0.00014326444747794865,-23.371435464231737,-0.00023868307286690408,0.0030931061038136335,-5.6283629308171454e-05,-0.6002287709687593,0.0,0.0
25,5516532647.838086,[0.2 0.2 0.2 0.2 0.2],"[ 1.32420499e-04  2.15611303e-05 -9.75204090e-05  1.53006230e-05
  2.28310502e-06]",7.36,equal_weight,-0.00012845757934703826,-21.28338354630951,-0.00023868307286690408,0.003054478925212259,-5.615309369316778e-05,-0.538193085098538,0.0,0.0
26,5516177472.807728,[0.2 0.2 0.2 0.2 0.2],"[-1.23128731e-04 -8.08654360e-05 -1.96818249e-04  7.66105863e-05
  2.28310502e-06]",6.590000000000001,equal_weight,-0.00019283305359948274,-26.726041224053944,-0.00023868307286690408,0.003179328915564942,-5.975451864111005e-05,-0.8079041855934689,0.0,0.0
27,5515994344.418668,[0.2 0.2 0.2 0.2 0.2],"[-1.82215359e-04  4.41949078e-05 -4.00508931e-06 -2.62496760e-05
  2.28310502e-06]",5.82,equal_weight,-0.00022602507411661145,-29.602128364449243,-0.00023868307286690408,0.0031530026981433715,-5.954923314191488e-05,-0.9469673379085786,0.0,0.0
28,5516221646.299059,[0.2 0.2 0.2 0.2 0.2],"[ 3.32825096e-05 -7.54937206e-06  9.86478918e-05  7.93747648e-05
  2.28310502e-06]",5.050000000000001,equal_weight,-0.00018482660829572078,-24.216325695137442,-0.00023868307286690408,0.003213712728024709,-5.934394764271971e-05,-0.7743599329257208,0.0,0.0
29,5516343161.14032,[0.2 0.2 0.2 0.2 0.2],"[1.78532195e-05 1.43543949e-06 1.43134360e-06 8.71400747e-05
 2.28310502e-06]",4.28,equal_weight,-0.00016280204331718085,-21.648380501436925,-0.00023868307286690408,0.003195444796237087,-5.9138662143524535e-05,-0.6820845791941162,0.0,0.0
30,5516220351.243521,[0.2 0.2 0.2 0.2 0.2],"[ 3.23916644e-05 -1.23262623e-04 -5.31660526e-05  3.04393145e-05
  2.28310502e-06]",3.51,equal_weight,-0.00018506133711201545,-23.473027527913445,-0.00023868307286690408,0.0031541636472742184,-5.8933376644329366e-05,-0.7753433659504229,0.0,0.0
31,5516286045.506057,[0.2 0.2 0.2 0.2 0.2],"[ 1.23272024e-04  1.58778237e-05 -9.29015351e-05  1.10150274e-05
  2.28310502e-06]",2.925,equal_weight,-0.0001731542520273566,-22.11227043089129,-0.00023868307286690408,0.0031172412567072585,-5.872809114513419e-05,-0.7254567739033255,0.0,0.0
32,5516429336.09244,[0.2 0.2 0.2 0.2 0.2],"[ 1.03991024e-04  5.66231933e-05 -8.98563265e-07 -3.21191762e-05
  2.28310502e-06]",2.34,equal_weight,-0.00014718283324546215,-19.380030023547558,-0.00023868307286690408,0.0031108999504102348,-5.852280564593902e-05,-0.6166454599297669,0.0,0.0
33,5516246927.541753,[0.2 0.2 0.2 0.2 0.2],"[-4.96674599e-05  6.67367918e-06  1.86123256e-06 -1.26482640e-04
  2.28310502e-06]",1.755,equal_weight,-0.00018024438305745121,-21.905174386234478,-0.00023868307286690408,0.0030972625423764106,-5.831752014674385e-05,-0.7551619848549553,0.0,0.0
34,5516236786.179421,[0.2 0.2 0.2 0.2 0.2],"[-6.04583965e-05 -4.15626230e-06 -3.65037705e-05  8.96430578e-05
  2.28310502e-06]",1.17,equal_weight,-0.00018208250498001573,-21.924779619189042,-0.00023868307286690408,0.003051912576731964,-5.8112234647548674e-05,-0.7628630836404126,0.0,0.0
35,5516406779.510289,[0.2 0.2 0.2 0.2 0.2],"[-1.71246897e-05  6.12034073e-05  4.34490120e-05  6.42736775e-05
  2.28310502e-06]",0.585,equal_weight,-0.0001512712137602329,-18.905610012761343,-0.00023868307286690408,0.0030604208346850766,-5.7906949148353504e-05,-0.6337743684261418,0.0,0.0
36,5516226074.225495,[0.2 0.2 0.2 0.2 0.2],"[ 1.03226609e-04 -2.34342673e-04 -5.95910995e-05  2.46351180e-05
  2.28310502e-06]",0.0,equal_weight,-0.00018402404662911889,-21.244806123637918,-0.00023868307286690408,0.003049147254602556,-5.7701663649158335e-05,-0.7709974755174008,0.0,0.0
37,5516230774.317413,[0.2 0.2 0.2 0.2 0.2],"[-6.61837955e-05  1.96585049e-05  4.39518863e-06  4.41072393e-05
  2.28310502e-06]",0.945,equal_weight,-0.0001831721549689829,-21.05886310280762,-0.00023868307286690408,0.003009022037686953,-5.749637814996316e-05,-0.7674283423991465,0.0,0.0
