timestep,portfolio_value,portfolio_value_usd,cash,cash_usd,capacity_value,capacity_value_usd,wind_capacity,solar_capacity,hydro_capacity,battery_soc,battery_action,battery_revenue,operational_revenue,cash_return,noise_return,step_return,investments,total_investment_cost,price,wind_gen,solar_gen,hydro_gen,num_investments
0,5517243283.610413,800000276.1235098,4965519145.6793785,720000276.1235099,551724137.9310346,80000000.0,40.00000000000001,0.0,0.0,0.5,idle,0.0,14.833836530784334,1889.4662314357486,991344.0454963899,0.0,"[('wind', 40.00000000000001, 551724137.9310346)]",551724137.9310346,16.110001,1500.0,0.0,566.676,1
1,5517244992.804289,800000523.9566219,4413796526.512213,640000496.3442708,1103448466.2920759,160000027.612351,80.0000138061755,0.0,0.0,0.5,idle,0.0,29.667678181532427,1679.526197483263,-77691.30277591999,3.097912831474789e-07,"[('wind', 40.000013806175495, 551724328.3610413)]",551724328.3610413,16.110001,1500.0,0.0,587.263,1
2,5517246506.891837,800000743.4993163,3862073541.3193326,560000663.4913032,1655172965.5725048,240000080.00801316,120.00004000400659,0.0,0.0,0.5,idle,0.0,44.50152442767535,1469.5860242516394,-958105.3432266358,2.744281883858024e-07,"[('wind', 40.00002619783109, 551724499.2804289)]",551724499.2804289,16.110001,1500.0,0.0,661.12,1
3,5517247825.8729315,800000934.751575,3310350209.611243,480000780.39363015,2206897616.2616887,320000154.35794485,160.00007717897242,0.0,0.0,0.5,idle,0.0,59.33537474464383,1259.6457191649633,1072498.4292591992,2.390651011718896e-07,"[('wind', 40.00003717496582, 551724650.6891837)]",551724650.6891837,16.110001,1500.0,0.0,551.341,1
4,5517248949.74745,800001097.7133802,2758626550.898468,400000849.8802778,2758622398.8489814,400000247.8331023,200.00012391655116,0.0,0.0,0.5,idle,0.0,74.16922860786823,1049.705289647328,-1082155.2225568614,2.037020184455195e-07,"[('wind', 40.00004673757875, 551724782.5872931)]",551724782.5872931,16.110001,1500.0,0.0,631.551,1
5,5517249878.515279,800001232.3847153,2206902584.691552,320000874.78027505,3310347293.8237267,480000357.60444033,240.00017880222018,0.0,0.0,0.5,idle,0.0,89.00308549277862,839.7647431228344,-223629.522763374,1.68338938010738e-07,"[('wind', 40.000054885669016, 551724894.974745)]",551724894.974745,16.110001,1500.0,0.0,608.261,1
6,5517250612.176311,800001338.7655649,1655178330.501056,240000857.9226531,3862072281.6752543,560000480.8429118,280.00024042145594,0.0,0.0,0.5,idle,0.0,103.83694487480471,629.8240870155894,478776.3997425103,1.3297585715303047e-07,"[('wind', 40.00006161923577, 551724987.8515279)]",551724987.8515279,16.110001,1500.0,0.0,575.884,1
7,5517251145.5985985,800001416.1117967,1103453802.7057137,160000801.39232847,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.5,idle,0.0,113.53896205475843,419.8833267969509,448343.8842162202,9.668262789508624e-08,"[('wind', 40.00006693827825, 551725061.2176311)]",551725061.2176311,15.413334166666669,1500.0,0.0,604.136,1
8,5517251673.889244,800001492.7139404,1103454330.9963593,160000877.9944721,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.5,idle,0.0,108.40711788014086,419.8835278207122,995176.6455413591,9.575251001956119e-08,[],0.0,14.716667333333334,1500.0,0.0,598.368,0
9,5517252197.048245,800001568.5719955,1103454854.15536,160000953.8525272,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.5,idle,0.0,103.27527370552329,419.8837268917934,62214.86130475283,9.482239206637739e-08,[],0.0,14.0200005,1500.0,0.0,528.21,0
