timestep,portfolio_value_usd,total_return,cash_usd,capacity_value_usd,wind_capacity_mw,solar_capacity_mw,hydro_capacity_mw,battery_soc,risk_free_return,method
1,800000304.414003,3.8051750376820564e-07,800000304.414003,0.0,0.0,0.0,0.0,0.0,304.4140030145645,Buy-and-Hold Strategy
2,800000608.8281218,7.610351522266865e-07,800000608.8281218,0.0,0.0,0.0,0.0,0.0,608.8281217813492,Buy-and-Hold Strategy
3,800000913.2423564,1.141552945524454e-06,800000913.2423564,0.0,0.0,0.0,0.0,0.0,913.2423564195633,Buy-and-Hold Strategy
4,800001217.6567069,1.5220708836615085e-06,800001217.6567069,0.0,0.0,0.0,0.0,0.0,1217.6567069292068,Buy-and-Hold Strategy
5,800001522.0711733,1.90258896663785e-06,800001522.0711733,0.0,0.0,0.0,0.0,0.0,1522.0711733102798,Buy-and-Hold Strategy
6,800001826.4857554,2.2831071943044663e-06,800001826.4857554,0.0,0.0,0.0,0.0,0.0,1826.485755443573,Buy-and-Hold Strategy
7,800002130.9004534,2.6636255668103695e-06,800002130.9004534,0.0,0.0,0.0,0.0,0.0,2130.9004534482956,Buy-and-Hold Strategy
8,800002435.3152673,3.0441440841555593e-06,800002435.3152673,0.0,0.0,0.0,0.0,0.0,2435.3152673244476,Buy-and-Hold Strategy
9,800002739.730197,3.4246627461910247e-06,800002739.730197,0.0,0.0,0.0,0.0,0.0,2739.73019695282,Buy-and-Hold Strategy
10,800003044.1452425,3.8051815530657767e-06,800003044.1452425,0.0,0.0,0.0,0.0,0.0,3044.1452424526215,Buy-and-Hold Strategy
11,800003348.5604038,4.1857005047798155e-06,800003348.5604038,0.0,0.0,0.0,0.0,0.0,3348.5604038238525,Buy-and-Hold Strategy
12,800003652.975681,4.5662196011841296e-06,800003652.975681,0.0,0.0,0.0,0.0,0.0,3652.9756809473038,Buy-and-Hold Strategy
13,800003957.391074,4.946738842427731e-06,800003957.391074,0.0,0.0,0.0,0.0,0.0,3957.3910739421844,Buy-and-Hold Strategy
14,800004261.8065828,5.327258228510618e-06,800004261.8065828,0.0,0.0,0.0,0.0,0.0,4261.806582808495,Buy-and-Hold Strategy
15,800004566.2222074,5.707777759283781e-06,800004566.2222074,0.0,0.0,0.0,0.0,0.0,4566.222207427025,Buy-and-Hold Strategy
16,800004870.6379479,6.088297434896231e-06,800004870.6379479,0.0,0.0,0.0,0.0,0.0,4870.637947916985,Buy-and-Hold Strategy
17,800005175.0538043,6.468817255347967e-06,800005175.0538043,0.0,0.0,0.0,0.0,0.0,5175.053804278374,Buy-and-Hold Strategy
18,800005479.4697765,6.84933722063899e-06,800005479.4697765,0.0,0.0,0.0,0.0,0.0,5479.469776511192,Buy-and-Hold Strategy
19,800005783.8858645,7.229857330620289e-06,800005783.8858645,0.0,0.0,0.0,0.0,0.0,5783.885864496231,Buy-and-Hold Strategy
20,800006088.3020684,7.610377585440874e-06,800006088.3020684,0.0,0.0,0.0,0.0,0.0,6088.302068352699,Buy-and-Hold Strategy
21,800006392.7183881,7.990897985100746e-06,800006392.7183881,0.0,0.0,0.0,0.0,0.0,6392.718388080597,Buy-and-Hold Strategy
22,800006697.1348236,8.371418529450893e-06,800006697.1348236,0.0,0.0,0.0,0.0,0.0,6697.134823560715,Buy-and-Hold Strategy
23,800007001.5513749,8.751939218640327e-06,800007001.5513749,0.0,0.0,0.0,0.0,0.0,7001.551374912262,Buy-and-Hold Strategy
24,800007305.9680421,9.132460052669049e-06,800007305.9680421,0.0,0.0,0.0,0.0,0.0,7305.968042135239,Buy-and-Hold Strategy
25,800007610.3848251,9.512981031388044e-06,800007610.3848251,0.0,0.0,0.0,0.0,0.0,7610.3848251104355,Buy-and-Hold Strategy
26,800007914.801724,9.893502154946327e-06,800007914.801724,0.0,0.0,0.0,0.0,0.0,7914.801723957062,Buy-and-Hold Strategy
27,800008219.2187387,1.0274023423343897e-05,800008219.2187387,0.0,0.0,0.0,0.0,0.0,8219.218738675117,Buy-and-Hold Strategy
28,800008523.6358693,1.0654544836580754e-05,800008523.6358693,0.0,0.0,0.0,0.0,0.0,8523.635869264603,Buy-and-Hold Strategy
29,800008828.0531156,1.1035066394507885e-05,800008828.0531156,0.0,0.0,0.0,0.0,0.0,8828.053115606308,Buy-and-Hold Strategy
30,800009132.4704778,1.1415588097274304e-05,800009132.4704778,0.0,0.0,0.0,0.0,0.0,9132.470477819443,Buy-and-Hold Strategy
31,800009436.8879559,1.1796109944880008e-05,800009436.8879559,0.0,0.0,0.0,0.0,0.0,9436.887955904007,Buy-and-Hold Strategy
32,800009741.3055497,1.2176631937175989e-05,800009741.3055497,0.0,0.0,0.0,0.0,0.0,9741.305549740791,Buy-and-Hold Strategy
33,800010045.7232594,1.2557154074311256e-05,800010045.7232594,0.0,0.0,0.0,0.0,0.0,10045.723259449005,Buy-and-Hold Strategy
34,800010350.141085,1.2937676356285811e-05,800010350.141085,0.0,0.0,0.0,0.0,0.0,10350.141085028648,Buy-and-Hold Strategy
35,800010654.5590265,1.3318198783099651e-05,800010654.5590265,0.0,0.0,0.0,0.0,0.0,10654.559026479721,Buy-and-Hold Strategy
36,800010958.9770837,1.3698721354603768e-05,800010958.9770837,0.0,0.0,0.0,0.0,0.0,10958.977083683014,Buy-and-Hold Strategy
37,800011263.3952568,1.407924407094717e-05,800011263.3952568,0.0,0.0,0.0,0.0,0.0,11263.395256757736,Buy-and-Hold Strategy
38,800011567.8135457,1.445976693212986e-05,800011567.8135457,0.0,0.0,0.0,0.0,0.0,11567.813545703888,Buy-and-Hold Strategy
39,800011872.2319504,1.4840289938002825e-05,800011872.2319504,0.0,0.0,0.0,0.0,0.0,11872.23195040226,Buy-and-Hold Strategy
40,800012176.650471,1.5220813088715077e-05,800012176.650471,0.0,0.0,0.0,0.0,0.0,12176.650470972061,Buy-and-Hold Strategy
41,800012481.0691074,1.5601336384266615e-05,800012481.0691074,0.0,0.0,0.0,0.0,0.0,12481.069107413292,Buy-and-Hold Strategy
42,800012785.4878596,1.598185982450843e-05,800012785.4878596,0.0,0.0,0.0,0.0,0.0,12785.487859606743,Buy-and-Hold Strategy
43,800013089.9067277,1.636238340958953e-05,800013089.9067277,0.0,0.0,0.0,0.0,0.0,13089.906727671623,Buy-and-Hold Strategy
44,800013394.3257116,1.6742907139509916e-05,800013394.3257116,0.0,0.0,0.0,0.0,0.0,13394.325711607933,Buy-and-Hold Strategy
45,800013698.7448114,1.712343101426959e-05,800013698.7448114,0.0,0.0,0.0,0.0,0.0,13698.744811415672,Buy-and-Hold Strategy
46,800014003.164027,1.750395503371954e-05,800014003.164027,0.0,0.0,0.0,0.0,0.0,14003.164026975632,Buy-and-Hold Strategy
47,800014307.5833584,1.7884479198008775e-05,800014307.5833584,0.0,0.0,0.0,0.0,0.0,14307.58335840702,Buy-and-Hold Strategy
48,800014612.0028057,1.8265003507137298e-05,800014612.0028057,0.0,0.0,0.0,0.0,0.0,14612.002805709839,Buy-and-Hold Strategy
49,800014916.4223688,1.8645527960956097e-05,800014916.4223688,0.0,0.0,0.0,0.0,0.0,14916.422368764877,Buy-and-Hold Strategy
50,800015220.8420477,1.9026052559614183e-05,800015220.8420477,0.0,0.0,0.0,0.0,0.0,15220.842047691345,Buy-and-Hold Strategy
51,800015525.2618425,1.9406577303111552e-05,800015525.2618425,0.0,0.0,0.0,0.0,0.0,15525.261842489243,Buy-and-Hold Strategy
52,800015829.6817532,1.978710219144821e-05,800015829.6817532,0.0,0.0,0.0,0.0,0.0,15829.68175315857,Buy-and-Hold Strategy
53,800016134.1017796,2.0167627224475146e-05,800016134.1017796,0.0,0.0,0.0,0.0,0.0,16134.101779580116,Buy-and-Hold Strategy
54,800016438.5219219,2.0548152402341364e-05,800016438.5219219,0.0,0.0,0.0,0.0,0.0,16438.521921873093,Buy-and-Hold Strategy
55,800016742.94218,2.0928677725046873e-05,800016742.94218,0.0,0.0,0.0,0.0,0.0,16742.9421800375,Buy-and-Hold Strategy
56,800017047.362554,2.1309203192442654e-05,800017047.362554,0.0,0.0,0.0,0.0,0.0,17047.362553954124,Buy-and-Hold Strategy
57,800017351.7830437,2.1689728804677725e-05,800017351.7830437,0.0,0.0,0.0,0.0,0.0,17351.78304374218,Buy-and-Hold Strategy
58,800017656.2036494,2.207025456175208e-05,800017656.2036494,0.0,0.0,0.0,0.0,0.0,17656.203649401665,Buy-and-Hold Strategy
59,800017960.6243709,2.2450780463665724e-05,800017960.6243709,0.0,0.0,0.0,0.0,0.0,17960.62437093258,Buy-and-Hold Strategy
60,800018265.0452082,2.283130651026964e-05,800018265.0452082,0.0,0.0,0.0,0.0,0.0,18265.045208215714,Buy-and-Hold Strategy
61,800018569.4661614,2.3211832701712845e-05,800018569.4661614,0.0,0.0,0.0,0.0,0.0,18569.466161370277,Buy-and-Hold Strategy
62,800018873.8872304,2.359235903799534e-05,800018873.8872304,0.0,0.0,0.0,0.0,0.0,18873.88723039627,Buy-and-Hold Strategy
63,800019178.3084152,2.3972885518968106e-05,800019178.3084152,0.0,0.0,0.0,0.0,0.0,19178.308415174484,Buy-and-Hold Strategy
