"experiment_group","paper_variant","suite","seed","paired_core_included","status","training_success","evaluation_success","total_return_pct","reported_nav_return_pct","trading_return_pct","operating_return_pct","sharpe_ratio","reported_nav_sharpe","trading_sharpe","max_drawdown_pct","trading_max_dd_pct","volatility","total_distributions_usd_m","trading_gain_usd_m","operating_gain_usd_m","trading_gain_share","mean_abs_exposure_dkk_m","final_portfolio_value_usd_m","reported_nav_final_usd_m","total_rewards","average_risk","notes","source_file"
"ablation","Forecast prior only","abl_forecast_prior_only","7","False","completed","","True","24.7929872581803","14.3771064076984","138.742891680257","9.25185056859412","140.118905180382","14.0455272637823","98.5915714085738","0.0521248065310629","0.36354040677415","0.00197396180286207","83.327019","133.193174","65.133028","0.67158636949322","35.512999","998.343562","915.016543","-411.359406825558","0.199633454953204","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_forecast_prior_only\seed7\evaluations_2025\tier1_forecast_utilization\tier_result_20260514_222811.csv"
"ablation","Forecast prior only","abl_forecast_prior_only","42","False","completed","","True","24.7779783301736","14.4517589717534","138.617548918071","9.25185056859412","140.044414477322","14.1632660917246","98.5314237876775","0.052052476489251","0.363517704488303","0.00197386245418542","82.609727","133.072843","65.133028","0.671386989010946","35.421357","998.223489","915.613762","-80.343121255301","0.199052123996751","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_forecast_prior_only\seed42\evaluations_2025\tier1_forecast_utilization\tier_result_20260515_035713.csv"
"ablation","Forecast prior only","abl_forecast_prior_only","123","False","summary_only_no_tier_result","False","False","","","","","","","","","","","","","","","","","","","","summary_present_no_completed_tier_result","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_forecast_prior_only\tier1_forecast_utilization_only_seed_suite_summary.csv"
"ablation","No prior path control","abl_no_prior_path_control","7","False","summary_only_no_tier_result","False","False","","","","","","","","","","","","","","","","","","","","summary_present_no_completed_tier_result","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_no_prior_path_control\tier1_forecast_utilization_only_seed_suite_summary.csv"
"ablation","Weak conformal gate","abl_weak_conformal_gate","7","False","completed","","True","50.4804468127972","14.4350316432165","352.666711336753","9.25185056859412","164.414464272979","7.49676992969939","122.929807668413","0.0858208205886653","0.602747333393533","0.00320575057225184","288.363224","338.560038","65.133028","0.83865705519211","98.517161","1203.843169","915.479945","57.5539109500901","0.200775509105078","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_weak_conformal_gate\seed7\evaluations_2025\tier1_forecast_utilization\tier_result_20260514_222957.csv"
"ablation","Weak conformal gate","abl_weak_conformal_gate","42","False","completed","","True","48.4818931686345","14.4652048480089","336.044014864791","9.25185056859412","172.557918351662","7.75749974452872","129.078213076064","0.0802742750667469","0.575388459317322","0.00295077208732162","272.133414","322.602244","65.133028","0.832016758154137","92.651609","1187.854743","915.721329","397.70239609158","0.20008945510491","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_weak_conformal_gate\seed42\evaluations_2025\tier1_forecast_utilization\tier_result_20260515_035855.csv"
"ablation","Weak conformal gate","abl_weak_conformal_gate","123","False","summary_only_no_tier_result","False","False","","","","","","","","","","","","","","","","","","","","summary_present_no_completed_tier_result","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_weak_conformal_gate\tier1_forecast_utilization_only_seed_suite_summary.csv"
"baseline","Buy-and-hold","baselines/Baseline3_BuyAndHold","","False","pending","","False","","","","","","","","","","","","","","","","","","","","Passive cash/bond floor",""
"baseline","IEEE standards","baselines/Baseline4_IEEE","","False","pending","","False","","","","","","","","","","","","","","","","","","","","Non-learning compliance baseline",""
"baseline","Rule-based heuristic","baselines/Baseline2_RuleBasedHeuristic","","False","pending","","False","","","","","","","","","","","","","","","","","","","","Expert-rule baseline",""
