"experiment_group","paper_variant","suite","seed","paired_core_included","record_type","status_normalized","source_file","source_last_write","notes","variant","status","final_portfolio_value_usd","initial_portfolio_value_usd","total_return_pct","sharpe_ratio","max_drawdown_pct","volatility","total_distributions_usd","reported_nav_final_usd","reported_nav_return_pct","reported_nav_sharpe","total_rewards","average_risk","trading_gain_usd","operating_gain_usd","trading_gain_share","trading_return_pct","operating_return_pct","mean_abs_exposure_dkk","trading_sharpe","trading_max_dd_pct","run_dir","final_models_dir","phase","global_run_number","total_planned_runs","run_order","run_name","canonical_variant","save_dir","eval_output_dir","training_success","training_returncode","training_duration_seconds","evaluation_success","evaluation_results_json","total_return","step_volatility","periods_per_year","annual_risk_free_rate","per_step_risk_free_rate","max_drawdown","initial_portfolio_value","final_portfolio_value","investor_0_total_reward","investor_0_avg_reward","battery_operator_0_total_reward","battery_operator_0_avg_reward","risk_controller_0_total_reward","risk_controller_0_avg_reward","meta_controller_0_total_reward","meta_controller_0_avg_reward","max_risk","min_risk","evaluation_steps","evaluation_timestamp","reported_nav_total_return","reported_nav_volatility","reported_nav_step_volatility","reported_nav_sharpe_ratio","reported_nav_max_drawdown","reported_nav_initial_portfolio_value","reported_nav_final_portfolio_value","distribution_adjusted_evaluation","action_inference_success_rate","action_inference_success_rate_all_agents","models_loaded","evaluation_mode","env_log_dir","env_debug_log","sleeve_total_initial_usd","sleeve_total_final_usd","sleeve_total_gain_usd","sleeve_reported_nav_initial_usd","sleeve_reported_nav_final_usd","sleeve_trading_initial_usd","sleeve_trading_final_usd","sleeve_trading_gain_usd","sleeve_reported_trading_initial_usd","sleeve_reported_trading_final_usd","sleeve_operating_initial_usd","sleeve_operating_final_usd","sleeve_operating_gain_usd","sleeve_total_distributions_usd","sleeve_trading_gain_share","sleeve_trading_return_pct","sleeve_operating_return_pct","sleeve_trading_volatility","sleeve_trading_step_volatility","sleeve_trading_sharpe_ratio","sleeve_trading_max_drawdown_pct","sleeve_mean_abs_exposure_dkk","sleeve_max_abs_exposure_dkk","tier_report_scope","tier_report_csv","tier_report_md"
"ablation","Forecast prior only","abl_forecast_prior_only","7","False","completed_evaluation","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_forecast_prior_only\seed7\evaluations_2025\tier1_forecast_utilization\tier_result_20260514_222811.csv","2026-05-14 22:28:11","completed_tier_result","tier1","completed","998343562.1234932","799999730.8006192","24.792987258180265","140.11890518038192","0.0521248065310629","0.0019739618028620665","83327018.76436818","915016543.359125","14.377106407698403","14.045527263782255","-411.3594068255584","0.1996334549532042","133193173.93450476","65133028.002875805","0.6715863694932204","138.74289168025706","9.251850568594122","35512998.7646316","98.5915714085738","0.36354040677414984","batch_tier_phase_runs/abl_forecast_prior_only\seed7\tier1_forecast_utilization_seed7","batch_tier_phase_runs/abl_forecast_prior_only\seed7\tier1_forecast_utilization_seed7\final_models",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ablation","Forecast prior only","abl_forecast_prior_only","42","False","completed_evaluation","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_forecast_prior_only\seed42\evaluations_2025\tier1_forecast_utilization\tier_result_20260515_035713.csv","2026-05-15 03:57:13","completed_tier_result","tier1","completed","998223488.8705137","799999729.3024942","24.77797833017361","140.04441447732233","0.05205247648925097","0.0019738624541854213","82609726.91454303","915613761.9559706","14.451758971753437","14.163266091724568","-80.34312125530096","0.19905212399675132","133072842.80801958","65133028.002875805","0.6713869890109461","138.6175489180709","9.251850568594122","35421356.66772594","98.53142378767754","0.3635177044883025","batch_tier_phase_runs/abl_forecast_prior_only\seed42\tier1_forecast_utilization_seed42","batch_tier_phase_runs/abl_forecast_prior_only\seed42\tier1_forecast_utilization_seed42\final_models",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ablation","Forecast prior only","abl_forecast_prior_only","123","False","summary_only_attempt","summary_only_no_tier_result","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_forecast_prior_only\tier1_forecast_utilization_only_seed_suite_summary.csv","2026-05-15 11:57:15","attempted_or_planned_run_without_completed_tier_result","","","","","","","","","","","","","","","","","","","","","","","","","tier1_forecast_utilization_only","3","6","1","Tier 1 + conformal ANN forecast-cache utilization","tier1_forecast_utilization","batch_tier_phase_runs/abl_forecast_prior_only\seed123\tier1_forecast_utilization_seed123","batch_tier_phase_runs/abl_forecast_prior_only\seed123\evaluations_2025\tier1_forecast_utilization","False","1","28800.174221515656","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ablation","No prior path control","abl_no_prior_path_control","7","False","summary_only_attempt","summary_only_no_tier_result","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_no_prior_path_control\tier1_forecast_utilization_only_seed_suite_summary.csv","2026-05-14 22:11:00","attempted_or_planned_run_without_completed_tier_result","","","","","","","","","","","","","","","","","","","","","","","","","tier1_forecast_utilization_only","1","6","1","Tier 1 + conformal ANN forecast-cache utilization","tier1_forecast_utilization","batch_tier_phase_runs/abl_no_prior_path_control\seed7\tier1_forecast_utilization_seed7","batch_tier_phase_runs/abl_no_prior_path_control\seed7\evaluations_2025\tier1_forecast_utilization","False","1","23418.0626244545","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ablation","Weak conformal gate","abl_weak_conformal_gate","123","False","summary_only_attempt","summary_only_no_tier_result","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_weak_conformal_gate\tier1_forecast_utilization_only_seed_suite_summary.csv","2026-05-15 11:58:58","attempted_or_planned_run_without_completed_tier_result","","","","","","","","","","","","","","","","","","","","","","","","","tier1_forecast_utilization_only","3","6","1","Tier 1 + conformal ANN forecast-cache utilization","tier1_forecast_utilization","batch_tier_phase_runs/abl_weak_conformal_gate\seed123\tier1_forecast_utilization_seed123","batch_tier_phase_runs/abl_weak_conformal_gate\seed123\evaluations_2025\tier1_forecast_utilization","False","1","28800.738533735275","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ablation","Weak conformal gate","abl_weak_conformal_gate","7","False","completed_evaluation","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_weak_conformal_gate\seed7\evaluations_2025\tier1_forecast_utilization\tier_result_20260514_222957.csv","2026-05-14 22:29:57","completed_tier_result","tier1","completed","1203843169.409947","799999730.8006192","50.48044681279724","164.41446427297865","0.08582082058866528","0.0032057505722518365","288363224.3226112","915479945.0873357","14.435031643216533","7.496769929699386","57.553910950090085","0.20077550910507763","338560037.59989476","65133028.002875805","0.8386570551921103","352.6667113367533","9.251850568594122","98517161.06421413","122.92980766841296","0.6027473333935327","batch_tier_phase_runs/abl_weak_conformal_gate\seed7\tier1_forecast_utilization_seed7","batch_tier_phase_runs/abl_weak_conformal_gate\seed7\tier1_forecast_utilization_seed7\final_models",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ablation","Weak conformal gate","abl_weak_conformal_gate","42","False","completed_evaluation","completed","C:\Users\gepap\Desktop\Tier1\batch_tier_phase_runs\abl_weak_conformal_gate\seed42\evaluations_2025\tier1_forecast_utilization\tier_result_20260515_035855.csv","2026-05-15 03:58:55","completed_tier_result","tier1","completed","1187854743.4122944","799999729.3024942","48.48189316863447","172.55791835166158","0.08027427506674695","0.0029507720873216178","272133414.4826776","915721328.9296168","14.465204848008927","7.757499744528719","397.70239609157954","0.20008945510491014","322602244.20148027","65133028.002875805","0.8320167581541369","336.04401486479105","9.251850568594122","92651608.65904678","129.07821307606403","0.5753884593173216","batch_tier_phase_runs/abl_weak_conformal_gate\seed42\tier1_forecast_utilization_seed42","batch_tier_phase_runs/abl_weak_conformal_gate\seed42\tier1_forecast_utilization_seed42\final_models",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"baseline","Buy-and-hold","baselines/Baseline3_BuyAndHold","","False","pending_baseline","pending","","","Passive cash/bond floor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"baseline","IEEE standards","baselines/Baseline4_IEEE","","False","pending_baseline","pending","","","Non-learning compliance baseline","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"baseline","Rule-based heuristic","baselines/Baseline2_RuleBasedHeuristic","","False","pending_baseline","pending","","","Expert-rule baseline","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
